화재발생일시,화재발생_연,화재발생_월,화재발생_일,주말여부,화재발생시간대,시군구명,읍면동명,발화지점,날씨,온도,습도,특보내용,발화원인종합,소방서명,서센터명,소방지역대명,출동소요시간,현장소방서거리,현장안전센터거리,현장소방지역대거리,전체인력수합계,화재진압시간,동원장비수,인명피해수,재산피해금액,피해면적
2013-04-30 11:59:00,2013,4,30,0,9~12,삼척시,신기면,산중턱,맑음,23,53,,인간의 부주의,삼척소방서,도계119안전센터,하장119지역대,300,18,18,3.0,94,30800,26,0,3752,0.8
2013-05-04 12:50:00,2013,5,4,1,9~12,홍천군,홍천읍,산아래,맑음,18,39,,인간의 부주의,홍천소방서,홍천119안전센터,,957,4,4,0.0,93,739,12,0,0,0.1
2013-05-06 14:49:00,2013,5,6,0,12~15,춘천시,동면,산아래,맑음,24,30,,인간의 부주의,춘천소방서,후평119안전센터,,646,6,6,0.0,98,2703,20,0,0,0.1
2013-05-08 11:04:00,2013,5,8,0,9~12,속초시,설악동,산정상,맑음,24,32,,미상,속초소방서,설악119안전센터,,300,10,4,0.0,46,15100,10,0,0,0.01
2013-05-08 12:25:00,2013,5,8,0,9~12,횡성군,강림면,산중턱,맑음,24,32,,인간의 부주의,횡성소방서,우천119안전센터,강림지역대,908,18,12,10.0,102,20100,12,0,0,0.2
2013-05-12 13:57:00,2013,5,12,1,12~15,삼척시,미로면,산정상,맑음,25,28,,인간의 부주의,삼척소방서,봉황119안전센터,미로119지역대,132,10,10,1.0,149,13100,21,0,1445,0.1
2013-05-16 11:14:00,2013,5,16,0,9~12,홍천군,남면,산중턱,맑음,23,32,,인간의 부주의,홍천소방서,양덕원119안전센터,,819,17,3,0.0,83,4022,6,0,0,0.05
2013-06-07 02:59:00,2013,6,7,0,0~3,춘천시,동면,산아래,구름많음,19,88,,미상,춘천소방서,후평119안전센터,,1500,5,5,0.0,18,11500,6,0,0,0.02
2013-10-29 14:30:00,2013,10,29,0,12~15,춘천시,사북면,산중턱,구름많음,16,55,,인간의 부주의,춘천소방서,후평119안전센터,,2000,19,19,0.0,43,5700,8,0,0,0.05
2013-11-08 21:31:00,2013,11,8,0,21~24,양양군,양양읍,산중턱,맑음,9,87,,인간의 부주의,양양소방서,양양119안전센터,,1700,18,4,0.0,34,200,7,0,0,0.01
2013-11-22 22:17:00,2013,11,22,0,21~24,태백시,하사미동,산정상,흐림,-1,78,,미상,태백소방서,화전119안전센터,,2811,30,25,0.0,36,33722,8,0,0,0.05
2013-12-01 21:40:00,2013,12,1,1,21~24,강릉시,성산면,산아래,맑음,7,38,건조주의보,미상,강릉소방서,내곡119안전센터,,1015,8,4,0.0,39,2929,13,0,440,0.03
2013-12-06 14:02:00,2013,12,6,0,12~15,양양군,현북면,산아래,구름조금,7,0,,미상,양양소방서,하조대119안전센터,,2142,28,6,0.0,234,2018,23,0,0,0.01
